Row,Column,Value
BEN,F2015,1.111
BEN,F2016,1.025
BEN,F2017,1.16
BEN,F2018,1.056
BEN,F2019,1.147
BEN,F2020,1.031
BEN,F2021,1.522
BEN,F2022,0.884
BFA,F1961,-0.285
BFA,F1962,-0.208
BFA,F1963,0.168
BFA,F1964,-0.218
BFA,F1965,-0.141
BFA,F1966,-0.147
BFA,F1967,-0.174
BFA,F1968,-0.209
BFA,F1969,0.543
BFA,F1970,0.359
BFA,F1971,-0.019
BFA,F1972,0.135
BFA,F1973,0.671
BFA,F1974,-0.056
BFA,F1975,-0.311
BFA,F1976,-0.316
BFA,F1977,0.267
BFA,F1978,0.212
BFA,F1979,0.434
BFA,F1980,0.805
BFA,F1981,0.282
BFA,F1982,0.18
BFA,F1983,0.724
BFA,F1984,0.799
BFA,F1985,0.472
BFA,F1986,0.356
BFA,F1987,1.011
BFA,F1988,0.593
BFA,F1989,0.009
BFA,F1990,0.603
BFA,F1991,0.527
BFA,F1992,0.004
BFA,F1993,0.725
BFA,F1994,0.311
BFA,F1995,0.401
BFA,F1996,0.917
BFA,F1997,0.621
BFA,F1998,1.006
BFA,F1999,0.548
BFA,F2000,0.537
BFA,F2001,0.502
BFA,F2002,1.015
BFA,F2003,0.986
BFA,F2004,0.867
BFA,F2005,1.449
BFA,F2006,1.162
BFA,F2007,0.867
BFA,F2008,0.297
BFA,F2009,0.942
BFA,F2010,1.25
BFA,F2011,1.001
BFA,F2012,0.492
BFA,F2013,0.849
BFA,F2014,0.888
BFA,F2015,1.111
BFA,F2016,1.075
BFA,F2017,1.212
BFA,F2018,1.156
BFA,F2019,1.065
BFA,F2020,1.044
BFA,F2021,1.624
BFA,F2022,0.802
BGD,F1961,0.152
BGD,F1962,-0.265
BGD,F1963,-0.09
BGD,F1964,0.107
BGD,F1965,-0.195
BGD,F1966,0.308
BGD,F1967,-0.226
BGD,F1968,-0.236
BGD,F1969,-0.007
BGD,F1970,-0.021
